,Title,Tag,Text,Date
29,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
30,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
31,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
32,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
33,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
34,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
35,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
36,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
37,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
38,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
39,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
40,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
41,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
42,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
43,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
44,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
45,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
46,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
47,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
48,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
49,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
50,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
51,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
52,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
53,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
54,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
55,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
56,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
57,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
58,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
59,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
60,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
61,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
62,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
63,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
64,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
65,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
66,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
67,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
68,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
69,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
70,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
71,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
72,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
73,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
74,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
75,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
76,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
77,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
78,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
79,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
80,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
81,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
82,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
83,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
84,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
85,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
86,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
87,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
88,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
89,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
90,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
91,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
92,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
93,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
94,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
95,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
96,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
97,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
98,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
99,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
100,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
101,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
102,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
103,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
104,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
105,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
106,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
107,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
108,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
109,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
110,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
111,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
112,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
113,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
114,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
115,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
116,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
117,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
118,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
119,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
120,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
121,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
122,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
123,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
124,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
125,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
126,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
127,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
128,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
129,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
130,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
131,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
132,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
133,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
134,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
